motion,engine,prompt_id,days,days_mentioned,share
ai-tracking-api,GEMINI,e0c5972797d310304fd52de485083c00,10,0,0.0
ai-tracking-api,GEMINI,e1bc7dc4b7983114cd1e8a6df4af9ac3,10,0,0.0
ai-tracking-api,GEMINI,e4bfd5f0fdc5098b4ff6a10268da1c84,10,0,0.0
ai-tracking-api,GEMINI,ea1fbaf7019b4190494a5402b6fce9f4,10,0,0.0
ai-tracking-api,GEMINI,eec81009964129d2dd5f22d1ebdd10cd,10,0,0.0
ai-tracking-api,GEMINI,f8b141fd42c92373b2dd9637bc3abe3c,10,0,0.0
ai-tracking-api,GEMINI,fb7a152d91da5c732ddd10d20cdefe68,10,0,0.0
ai-tracking-api,PERPLEXITY,025471cbadcce5426fe4439fb3d010f5,9,3,0.3333333333333333
ai-tracking-api,PERPLEXITY,040ff641a618da0485a0f38b66d135e6,10,0,0.0
ai-tracking-api,PERPLEXITY,0e49e01ff99288e22cfc6f2c06cbbc55,9,0,0.0
ai-tracking-api,PERPLEXITY,0f9d888952239fcaca6e3b06ea412556,9,0,0.0
ai-tracking-api,PERPLEXITY,1e19524f03b29230a1aa5c5743ee8ff9,8,0,0.0
ai-tracking-api,PERPLEXITY,200903516e28bf693e0c3af9d775d21a,10,0,0.0
ai-tracking-api,PERPLEXITY,26409d82a55baa2d69858f838eeac8a8,10,0,0.0
ai-tracking-api,PERPLEXITY,2bf65eea07243c0071af11c2fbd28718,10,0,0.0
ai-tracking-api,PERPLEXITY,2c2d72ccdc01be5dc50e2d41c17601d3,10,0,0.0
ai-tracking-api,PERPLEXITY,2d48aa2344304bcf1f39a233201f0b4c,10,0,0.0
ai-tracking-api,PERPLEXITY,348207ed40073984d146e7ca3a62d1f4,9,0,0.0
ai-tracking-api,PERPLEXITY,46c0a33f2e21675c3f0e8b8d67d1e33c,10,0,0.0
ai-tracking-api,PERPLEXITY,471d24b75fc03606f4b8400a68a6ae68,10,0,0.0
ai-tracking-api,PERPLEXITY,4c6421a1b523ca1c05aaa933f9280684,8,0,0.0
ai-tracking-api,PERPLEXITY,4f5a11da52cb73652d015db545c4e8a6,10,0,0.0
ai-tracking-api,PERPLEXITY,51c84c9bc6a86d1e9461624c222774f2,10,0,0.0
ai-tracking-api,PERPLEXITY,552e70bd69fa50222f2562ca8a779589,8,0,0.0
ai-tracking-api,PERPLEXITY,575fc8786a70b46452ebb369d3730cb0,10,0,0.0
ai-tracking-api,PERPLEXITY,5a6d64cbe0b5628af15d0d52168266d6,10,0,0.0
ai-tracking-api,PERPLEXITY,5bd745891e977effe2440c7efac29c3d,10,0,0.0
ai-tracking-api,PERPLEXITY,67b0e88e81fce95a7019d321664b8f63,9,0,0.0
ai-tracking-api,PERPLEXITY,68940635f7c5ae0534487a958af5cd9a,8,0,0.0
